text,emotion
I am very happy with today lesson,joy
This class is exciting and fun,joy
I feel great about this topic,joy
This is amazing and I love it,joy
I am sad and confused right now,sadness
I feel down after this explanation,sadness
This is disappointing for me,sadness
I am upset and unhappy,sadness
I am angry about the assignment,anger
This makes me frustrated and mad,anger
I am annoyed by this issue,anger
This question makes me furious,anger
I am scared about the exam,fear
I feel nervous and afraid,fear
This topic worries me a lot,fear
I am anxious about my performance,fear
Wow I did not expect that,surprise
That result is surprising,surprise
Oh this is unexpected,surprise
I am shocked by the answer,surprise
I am just listening,neutral
Okay I understand,neutral
This is fine for now,neutral
I have no strong feeling,neutral
That statement is gross,disgust
I dislike this example strongly,disgust
This feels unpleasant and nasty,disgust
I am disgusted by that content,disgust
